distance_to_mean,reg_method
1.70671429903414,EasyReg
2.71622674671009,EasyReg
2.75791525693009,EasyReg
2.94756427541425,EasyReg
9.27206938175458,EasyReg
2.62424159827975,EasyReg
10.0152861458669,EasyReg
13.6760242586565,EasyReg
1.92821209107958,EasyReg
3.56347830251745,EasyReg
5.05180796013436,EasyReg
1.313191681678,EasyReg
4.38059174041109,EasyReg
9.24254213213938,EasyReg
2.05081448804693,EasyReg
7.07219969536661,EasyReg
2.13203439936735,EasyReg
7.31909883810125,EasyReg
4.87798677323631,EasyReg
5.95891860938691,EasyReg
3.32587257358694,EasyReg
1.68799014736653,EasyReg
3.14232012934009,EasyReg
2.93948182733345,EasyReg
1.34566058788464,EasyReg
1.53070596987136,EasyReg
2.38722253538786,EasyReg
2.34418465295507,EasyReg
2.5144345314224,EasyReg
1.34364611877714,EasyReg
1.68171132450414,EasyReg
2.9280270228364,EasyReg
3.206537082642,EasyReg
2.73586803630584,EasyReg
2.01026764147916,EasyReg
3.64160252310063,EasyReg
4.96442431440712,EasyReg
2.21923759469495,EasyReg
7.78088498694385,EasyReg
1.50679063321192,EasyReg
2.03546217633457,EasyReg
1.27173621832348,EasyReg
1.68927751434026,EasyReg
3.0389500732901,EasyReg
0.802871272180856,EasyReg
1.84047512172563,EasyReg
2.69735275635566,EasyReg
3.01393149841094,EasyReg
2.53166408802558,EasyReg
2.33522678450348,EasyReg
10.2699103938105,EasyReg
3.28533469401352,EasyReg
9.55168457674871,EasyReg
7.0569346650452,EasyReg
2.25550768681286,EasyReg
1.54069270756032,EasyReg
5.09574586279463,EasyReg
0.797497334851823,EasyReg
4.55027099470104,EasyReg
12.6918278333456,EasyReg
1.53262879586653,EasyReg
5.3325317063722,EasyReg
3.04989403610246,EasyReg
11.5723929761701,EasyReg
2.94669313111507,EasyReg
3.92601224218705,EasyReg
2.32838989968488,EasyReg
1.63367274759944,EasyReg
3.62978489148999,EasyReg
3.92610433043621,EasyReg
0.698683580653568,EasyReg
2.99583710516616,EasyReg
2.96933590314453,EasyReg
1.57669598471142,EasyReg
2.1027370836946,EasyReg
1.46194359811768,EasyReg
2.53655245745581,EasyReg
0.698735425527695,EasyReg
3.7035025170682,EasyReg
3.27968618711823,EasyReg
2.05291888077536,EasyReg
3.03180042903928,EasyReg
11.0053292451047,EasyReg
8.15372972589011,EasyReg
10.5800425158165,EasyReg
2.24193328970024,EasyReg
1.99826275235613,EasyReg
11.4432334579901,EasyReg
3.98666809668161,EasyReg
4.74228666635943,EasyReg
2.67805705610495,EasyReg
2.06498123789097,EasyReg
1.98409876647538,ANTs
3.02790768055914,ANTs
2.40169805526066,ANTs
4.86635936502561,ANTs
10.165266063274,ANTs
3.72939858465616,ANTs
10.8417754181748,ANTs
14.6345661367573,ANTs
2.61790942782923,ANTs
4.59532495014953,ANTs
5.57247822845369,ANTs
1.81821181482699,ANTs
3.32524144092632,ANTs
9.75598826499463,ANTs
1.76622643735608,ANTs
9.54288277541113,ANTs
2.75743188325181,ANTs
7.89842863267861,ANTs
3.81394138628818,ANTs
5.43415375635144,ANTs
2.90179678482769,ANTs
1.2460134531577,ANTs
2.90501472124048,ANTs
2.56850532069219,ANTs
0.604722889813629,ANTs
1.3553770135616,ANTs
1.47918883621185,ANTs
1.86522776654583,ANTs
2.21968816442995,ANTs
0.981083872418056,ANTs
1.20135106081647,ANTs
3.18765284921606,ANTs
5.35778468007015,ANTs
3.08306086671339,ANTs
1.35044101631104,ANTs
3.58044023787645,ANTs
6.23425799628049,ANTs
2.36913859691782,ANTs
7.26952878816492,ANTs
2.2871853376352,ANTs
1.71408125206883,ANTs
0.772147271193626,ANTs
1.94499601219863,ANTs
2.71246774145748,ANTs
0.901428067694487,ANTs
3.38092188780358,ANTs
3.13968229917892,ANTs
3.13022525798548,ANTs
2.82178448723735,ANTs
1.8647546395359,ANTs
10.3056306778573,ANTs
3.73391133803522,ANTs
10.6102457475285,ANTs
7.50702714665368,ANTs
1.70521356105944,ANTs
1.56286117999676,ANTs
4.86401726703158,ANTs
1.68476865456554,ANTs
3.23612409421404,ANTs
12.7815844186702,ANTs
1.0675082671074,ANTs
6.95785360980647,ANTs
2.21665015268425,ANTs
12.0908897489285,ANTs
2.10454865872044,ANTs
3.8532809769126,ANTs
2.08625353394183,ANTs
1.39255147828287,ANTs
3.29360756363274,ANTs
3.55057418476132,ANTs
1.05535958010546,ANTs
1.92239911409326,ANTs
2.35358318757173,ANTs
1.82045083957456,ANTs
1.9054526234611,ANTs
1.07954391319771,ANTs
2.8020388468267,ANTs
0.736269695456324,ANTs
3.24397895908688,ANTs
3.86317792724366,ANTs
1.58046978257653,ANTs
2.10214784213806,ANTs
9.67262113393169,ANTs
6.92645832976733,ANTs
9.13341631546063,ANTs
3.49272269225547,ANTs
2.31340493926567,ANTs
10.891457758711,ANTs
3.86203171200449,ANTs
4.18098562467902,ANTs
1.52678094903073,ANTs
2.50082402375458,ANTs
1.66630252018821,ANTs+WD
3.00843418867035,ANTs+WD
2.64414993543256,ANTs+WD
2.08920168181548,ANTs+WD
7.39024104065114,ANTs+WD
1.50878538252625,ANTs+WD
7.20089309235889,ANTs+WD
8.98238681554175,ANTs+WD
1.3895335833674,ANTs+WD
1.8526066953399,ANTs+WD
3.18815558281196,ANTs+WD
2.37916448811163,ANTs+WD
1.4301003727511,ANTs+WD
8.33352235174902,ANTs+WD
2.03297839627273,ANTs+WD
6.86872843384812,ANTs+WD
2.55388578196743,ANTs+WD
4.72986157644059,ANTs+WD
4.53558115647936,ANTs+WD
3.18057675157753,ANTs+WD
3.0636031657631,ANTs+WD
2.98196907936236,ANTs+WD
2.64446594248804,ANTs+WD
2.77418439474464,ANTs+WD
0.577361528391796,ANTs+WD
1.0521619721458,ANTs+WD
2.23411409045799,ANTs+WD
2.15741953938321,ANTs+WD
1.99258426892331,ANTs+WD
0.933272331310274,ANTs+WD
2.60991237259888,ANTs+WD
2.09936978874142,ANTs+WD
1.18064173722808,ANTs+WD
2.44712905035584,ANTs+WD
2.42536804098227,ANTs+WD
3.78725419805041,ANTs+WD
2.14127878236306,ANTs+WD
2.01420393524932,ANTs+WD
5.78024434825293,ANTs+WD
2.44132580913517,ANTs+WD
4.38626605863118,ANTs+WD
1.67003882690163,ANTs+WD
3.69753055753791,ANTs+WD
2.27525921246374,ANTs+WD
1.2255254561552,ANTs+WD
2.84989253344907,ANTs+WD
2.95278659373678,ANTs+WD
3.77747367393107,ANTs+WD
2.6597503972546,ANTs+WD
2.7872372879571,ANTs+WD
9.16937540823995,ANTs+WD
2.01991073146699,ANTs+WD
7.63883405231261,ANTs+WD
6.55077404197507,ANTs+WD
2.60667433597138,ANTs+WD
1.65353959956911,ANTs+WD
3.53265451227667,ANTs+WD
0.695180048576689,ANTs+WD
3.30303696915561,ANTs+WD
7.0265315337979,ANTs+WD
1.27775963667871,ANTs+WD
6.17204295836028,ANTs+WD
2.11861590899405,ANTs+WD
5.72724990832683,ANTs+WD
2.39258827675542,ANTs+WD
2.20552689610028,ANTs+WD
2.01151723585549,ANTs+WD
1.42610082879264,ANTs+WD
0.822422142927521,ANTs+WD
2.21284592935635,ANTs+WD
2.29545573122005,ANTs+WD
2.19201673372179,ANTs+WD
2.32968473379368,ANTs+WD
0.772909268615895,ANTs+WD
1.74115753458095,ANTs+WD
0.830750870610755,ANTs+WD
3.95312292103776,ANTs+WD
1.54624478857516,ANTs+WD
3.03721407093706,ANTs+WD
2.28107503744815,ANTs+WD
2.49785807669454,ANTs+WD
4.04214598493402,ANTs+WD
6.45453760934646,ANTs+WD
3.69559924035101,ANTs+WD
7.89648447823205,ANTs+WD
2.15126436448456,ANTs+WD
1.73774473618142,ANTs+WD
10.053293733242,ANTs+WD
3.1027277686494,ANTs+WD
2.89523317619248,ANTs+WD
2.70746717936167,ANTs+WD
5.08169810168323,ANTs+WD
