sweetspot_score,improvement,reg_method
0.146101378021206,-21.4285714285714,EasyReg
0.0433130875424681,-36.3636363636364,EasyReg
-0.114018497030356,-78.9473684210526,EasyReg
-0.256174168179499,-129.411764705882,EasyReg
-0.293136005624516,-10.5263157894737,EasyReg
-0.128391256532855,-38.4615384615385,EasyReg
-0.143213456464925,-15.3846153846154,EasyReg
-0.324261599403864,-29.1666666666667,EasyReg
0.0921472037541363,-30.4347826086957,EasyReg
0.123852705741892,-84.6153846153846,EasyReg
-0.0288725346807432,41.6666666666667,EasyReg
-0.144157281278257,-60,EasyReg
-0.143271116204454,-16.1290322580645,EasyReg
-0.250686668807969,-48.2758620689655,EasyReg
0.109248883416367,-36.8421052631579,EasyReg
0.105610327906964,-3.125,EasyReg
-0.156401047656998,-81.25,EasyReg
-0.292056754730084,-27.7777777777778,EasyReg
0.0546575499819674,-4.34782608695652,EasyReg
0.0355627869901893,-140,EasyReg
-0.0324012395950002,54.5454545454545,EasyReg
0.0920438139372096,-18.75,EasyReg
-0.015720849980036,-37.5,EasyReg
-0.117399973284778,-100,EasyReg
-0.0910043317172142,-76.4705882352941,EasyReg
-0.147666817674725,-20.8333333333333,EasyReg
-0.0357512022027284,-35.7142857142857,EasyReg
-0.166837310691874,-7.14285714285714,EasyReg
-0.0612935887894577,-40,EasyReg
-0.0854660040242604,6.25,EasyReg
0.142459254586194,29.4117647058824,EasyReg
-0.147817833005309,-45.7142857142857,EasyReg
-0.228655508388832,-77.2727272727273,EasyReg
0.0661913268000407,-9.52380952380952,EasyReg
-0.133767752327574,-105.882352941176,EasyReg
-0.116407516996258,18.1818181818182,EasyReg
-0.110423930878468,0,EasyReg
0.167910666011695,5.55555555555556,EasyReg
0.0478861044618748,6.25,EasyReg
0.100359541082541,-61.5384615384615,EasyReg
0.136564253877809,5.55555555555556,EasyReg
0.1267179954927,-54.5454545454545,EasyReg
0.07707760518207,-4.76190476190476,EasyReg
0.115837947112382,-207.692307692308,EasyReg
-0.162126214795911,-90,EasyReg
0.033458054037815,13.6363636363636,EasyReg
0.109225831347525,-21.4285714285714,ANTs
0.118203649545945,-36.3636363636364,ANTs
0.067120971477949,-78.9473684210526,ANTs
-0.173991095829088,-129.411764705882,ANTs
0.0167465122291424,-10.5263157894737,ANTs
0.135570440828575,-38.4615384615385,ANTs
-0.110662259359161,-15.3846153846154,ANTs
-0.0767239164689256,-29.1666666666667,ANTs
