dice,spare_ad,spare_ad_class,reg_method
0.830834803,-4.08401,bottom_25,ANTs+WD
0.820834149,-2.13977,bottom_25,ANTs+WD
0.699823322,3.095,top_25,ANTs+WD
0.790370813,1.30117,middle,ANTs+WD
0.783333333,-0.903986,middle,ANTs+WD
0.729871296,-1.15049,middle,ANTs+WD
0.807418476,0.175606,middle,ANTs+WD
0.736078394,2.74098,top_25,ANTs+WD
0.752558384,-1.80156,bottom_25,ANTs+WD
0.782225487,-2.59419,bottom_25,ANTs+WD
0.766461328,-1.83736,bottom_25,ANTs+WD
0.710795503,1.46021,top_25,ANTs+WD
0.79794667,1.30812,middle,ANTs+WD
0.754476721,3.48883,top_25,ANTs+WD
0.722804663,-0.747925,middle,ANTs+WD
0.709579321,0.588939,middle,ANTs+WD
0.73727671,-0.705376,middle,ANTs+WD
0.819634502,-2.13749,bottom_25,ANTs+WD
0.810767898,-0.71876,middle,ANTs+WD
0.774918811,-1.12009,middle,ANTs+WD
0.811466218,-2.62105,bottom_25,ANTs+WD
0.649760236,1.34055,middle,ANTs+WD
0.733657588,-0.37809,middle,ANTs+WD
0.770834931,-1.08747,middle,ANTs+WD
0.734256843,-0.617904,middle,ANTs+WD
0.742976067,1.47818,top_25,ANTs+WD
0.768911056,-1.89548,bottom_25,ANTs+WD
0.782041635,0.283866,middle,ANTs+WD
0.824902126,-2.08572,bottom_25,ANTs+WD
0.831697125,-4.57946,bottom_25,ANTs+WD
0.803524362,-1.36208,middle,ANTs+WD
0.778875259,1.31901,middle,ANTs+WD
0.811468553,-0.481915,middle,ANTs+WD
0.760628055,1.72904,top_25,ANTs+WD
0.826334208,-2.77713,bottom_25,ANTs+WD
0.828735539,-0.104353,middle,ANTs+WD
0.791375291,-2.27595,bottom_25,ANTs+WD
0.788427633,-1.48105,bottom_25,ANTs+WD
0.728297456,1.94476,top_25,ANTs+WD
0.846718332,-3.0114,bottom_25,ANTs+WD
0.720282987,-0.146844,middle,ANTs+WD
0.727933751,2.52985,top_25,ANTs+WD
0.791711809,-3.0007,bottom_25,ANTs+WD
0.80546307,-0.950195,middle,ANTs+WD
0.792955735,3.39273,top_25,ANTs+WD
0.675039539,1.39954,top_25,ANTs+WD
0.729307432,-1.22817,middle,ANTs+WD
0.71835695,1.64239,top_25,ANTs+WD
0.733867829,2.25777,top_25,ANTs+WD
0.766162612,1.40146,top_25,ANTs+WD
0.742306114,1.38495,middle,ANTs+WD
0.717895335,2.76476,top_25,ANTs+WD
0.748663102,0.167746,middle,ANTs+WD
0.808993428,-2.15183,bottom_25,ANTs+WD
0.739126333,2.23205,top_25,ANTs+WD
0.77516703,1.498,top_25,ANTs+WD
0.777686927,-1.83388,bottom_25,ANTs+WD
0.755590582,-0.004844,middle,ANTs+WD
0.80630105,-2.54749,bottom_25,ANTs+WD
0.820479585,-2.23802,bottom_25,ANTs+WD
0.711973046,0.608443,middle,ANTs+WD
0.792673489,-1.62672,bottom_25,ANTs+WD
0.643274854,2.44524,top_25,ANTs+WD
0.779134295,0.268137,middle,ANTs+WD
0.854266461,-0.504224,middle,ANTs+WD
0.526057299,0.486159,middle,ANTs+WD
0.706521739,0.071468,middle,ANTs+WD
0.792360933,-0.355838,middle,ANTs+WD
0.811996572,-0.131768,middle,ANTs+WD
0.716649135,0.50417,middle,ANTs+WD
0.743488195,-0.076147,middle,ANTs+WD
